CODE ,DESCRIPTION,QTY,UNIT PRICE,DATE,TIME,TYPE,PAYMENT METHOD,TOTAL AMOUNT
9M,Salt Egg Mala Sauce Duck,1,9,1/12/2024,11:03:11,Take Out,QR Pay,9
11B,Fried Fish Ball (7 pcs),1,5,1/12/2024,11:03:11,Take Out,QR Pay,5
7B,Honey Sauce Fish,1,9,1/12/2024,11:03:11,Take Out,QR Pay,9
3A,Jin Xiang Sauce Chicken,1,7,1/12/2024,11:10:04,Dine In,QR Pay,7
9M,Salt Egg Mala Sauce Duck,1,9,1/12/2024,11:10:07,Take Out,QR Pay,9
11B,Fried Fish Ball (7 pcs),1,5,1/12/2024,11:10:07,Take Out,QR Pay,5
7B,Honey Sauce Fish,1,9,1/12/2024,11:10:07,Take Out,QR Pay,9
11C,Fried Golden Fish Roll (2 pcs),1,5,1/12/2024,11:11:03,Take Out,QR Pay,5
6A,Si Chuan Mala Sauce Chicken,1,8,1/12/2024,11:11:03,Take Out,QR Pay,8
9,Teriyaki Sauce Duck,1,9,1/12/2024,11:13:50,Take Out,QR Pay,9
3A,Jin Xiang Sauce Chicken,1,7,1/12/2024,11:13:50,Take Out,QR Pay,7
5B,Thai Patpet Sauce Fish,1,9,1/12/2024,11:13:58,Dine In,Cash,9
8A,Black Paper Sauce Chicken,1,8,1/12/2024,11:15:36,Dine In,QR Pay,8
13,Cantonise Yuen Yang (Ladna Kuey Teow),1,6.5,1/12/2024,11:17:21,Dine In,QR Pay,6.5
1MA,Salt Egg Sauce (Mala) Chicken,1,8.5,1/12/2024,11:26:33,Dine In,QR Pay,8.5
11B,Fried Fish Ball (7 pcs),1,5,1/12/2024,11:26:33,Dine In,QR Pay,5
1A,Salt Egg Butter Milk Chicken,1,8,1/12/2024,11:29:42,Dine In,Cash,8
7B,Honey Sauce Fish,1,9,1/12/2024,11:29:42,Dine In,Cash,9
8B,Black Paper Sauce Fish,1,9,1/12/2024,11:31:24,Take Out,QR Pay,9
9B,Black Pepper Sauce Duck,1,9,1/12/2024,11:33:38,Take Out,QR Pay,9
5B,Thai Patpet Sauce Fish,1,9,1/12/2024,11:33:38,Take Out,QR Pay,9
8A,Black Paper Sauce Chicken,1,8,1/12/2024,11:34:20,Dine In,Cash,8
1MA,Salt Egg Sauce (Mala) Chicken,1,8.5,1/12/2024,11:34:20,Dine In,Cash,8.5
9B,Black Pepper Sauce Duck,1,9,1/12/2024,11:34:20,Dine In,Cash,9
9M,Salt Egg Mala Sauce Duck,1,9,1/12/2024,11:36:45,Take Out,QR Pay,9
5B,Thai Patpet Sauce Fish,1,9,1/12/2024,11:36:45,Take Out,QR Pay,9
7A,Honey Sauce Chicken,1,8,1/12/2024,11:36:45,Take Out,QR Pay,8
1A,Salt Egg Butter Milk Chicken,1,8,1/12/2024,11:39:35,Take Out,QR Pay,8
5B,Thai Patpet Sauce Fish,1,9,1/12/2024,11:39:35,Take Out,QR Pay,9
9B,Black Pepper Sauce Duck,1,9,1/12/2024,11:40:17,Take Out,QR Pay,9
11C,Fried Golden Fish Roll (2 pcs),1,5,1/12/2024,11:40:17,Take Out,QR Pay,5
5B,Thai Patpet Sauce Fish,1,9,1/12/2024,11:40:17,Take Out,QR Pay,9
1B,Salt Egg Butter Milk Fish,1,9,1/12/2024,11:41:02,Dine In,Cash,9
2A,Sweet & Sour Sauce Chicken,1,7,1/12/2024,11:41:02,Dine In,Cash,7
1A,Salt Egg Butter Milk Chicken,1,8,1/12/2024,11:45:56,Take Out,QR Pay,8
1MA,Salt Egg Sauce (Mala) Chicken,1,8.5,1/12/2024,11:49:09,Take Out,QR Pay,8.5
5B,Thai Patpet Sauce Fish,1,9,1/12/2024,11:49:09,Take Out,QR Pay,9
6B,Si Chuan Mala Sauce Fish,1,9,1/12/2024,11:49:09,Take Out,QR Pay,9
8B,Black Paper Sauce Fish,1,9,1/12/2024,11:51:06,Take Out,QR Pay,9
11,Fried Chicken Wan-Tan (5 pcs),1,5,1/12/2024,11:51:06,Take Out,QR Pay,5
6A,Si Chuan Mala Sauce Chicken,1,8,1/12/2024,11:51:06,Take Out,QR Pay,8
8A,Black Paper Sauce Chicken,1,8,1/12/2024,11:52:01,Take Out,QR Pay,8
7A,Honey Sauce Chicken,1,8,1/12/2024,11:52:01,Take Out,QR Pay,8
7B,Honey Sauce Fish,1,9,1/12/2024,11:52:01,Take Out,QR Pay,9
3A,Jin Xiang Sauce Chicken,1,7,1/12/2024,11:55:50,Dine In,QR Pay,7
7A,Honey Sauce Chicken,1,8,1/12/2024,11:55:50,Dine In,QR Pay,8
7B,Honey Sauce Fish,1,9,1/12/2024,11:55:50,Dine In,QR Pay,9
1A,Salt Egg Butter Milk Chicken,1,8,1/12/2024,11:59:48,Dine In,Cash,8
8B,Black Paper Sauce Fish,1,9,1/12/2024,11:59:48,Dine In,Cash,9
11A,Fried Chicken Roll (2 pcs),1,5,1/12/2024,12:15:22,Take Out,QR Pay,5
1A,Salt Egg Butter Milk Chicken,1,8,1/12/2024,12:18:34,Dine In,Cash,8
5A,Thai Patpet Sauce Chicken,1,8,1/12/2024,12:18:34,Dine In,Cash,8
9B,Black Pepper Sauce Duck,1,9,1/12/2024,12:20:49,Dine In,QR Pay,9
11,Fried Chicken Wan-Tan (5 pcs),1,5,1/12/2024,12:23:02,Take Out,QR Pay,5
11B,Fried Fish Ball (7 pcs),1,5,1/12/2024,12:23:02,Take Out,QR Pay,5
7B,Honey Sauce Fish,1,9,1/12/2024,12:23:02,Take Out,QR Pay,9
2A,Sweet & Sour Sauce Chicken,1,7,1/12/2024,12:24:20,Take Out,QR Pay,7
11B,Fried Fish Ball (7 pcs),1,5,1/12/2024,12:24:20,Take Out,QR Pay,5
6B,Si Chuan Mala Sauce Fish,1,9,1/12/2024,12:28:50,Take Out,QR Pay,9
13,Cantonise Yuen Yang (Ladna Kuey Teow),1,6.5,1/12/2024,12:30:09,Take Out,QR Pay,6.5
3B,Jin Xiang Sauce Fish,1,8,1/12/2024,12:30:09,Take Out,QR Pay,8
8A,Black Paper Sauce Chicken,1,8,1/12/2024,12:35,Dine In,Cash,8
4A,Gong Bao Sauce Chicken,1,7,1/12/2024,12:35,Dine In,Cash,7
8B,Black Paper Sauce Fish,1,9,1/12/2024,12:35:26,Dine In,Cash,9
1MA,Salt Egg Sauce (Mala) Chicken,1,8.5,1/12/2024,12:46:41,Take Out,QR Pay,8.5
9M,Salt Egg Mala Sauce Duck,2,9,1/12/2024,12:46:41,Take Out,QR Pay,18
1B,Salt Egg Butter Milk Fish,1,9,1/12/2024,12:49:37,Take Out,QR Pay,9
7B,Honey Sauce Fish,1,9,1/12/2024,12:49:47,Dine In,QR Pay,9
8B,Black Paper Sauce Fish,1,9,1/12/2024,12:58:40,Dine In,Cash,9
1MB,Salt Egg Sauce (Mala) Fish,1,9.5,1/12/2024,12:58:40,Dine In,Cash,9.5
11,Fried Chicken Wan-Tan (5 pcs),1,5,1/12/2024,12:58:40,Dine In,Cash,5
4B,Gong Bao Sauce Fish,1,8,1/12/2024,13:12:54,Take Out,QR Pay,8
4A,Gong Bao Sauce Chicken,1,7,1/12/2024,13:13:34,Dine In,QR Pay,7
6B,Si Chuan Mala Sauce Fish,1,9,1/12/2024,13:13:34,Dine In,QR Pay,9
3B,Jin Xiang Sauce Fish,1,8,1/12/2024,13:23:13,Take Out,QR Pay,8
13,Cantonise Yuen Yang (Ladna Kuey Teow),1,6.5,1/12/2024,13:23:43,Dine In,Cash,6.5
4B,Gong Bao Sauce Fish,1,8,1/12/2024,13:28:10,Take Out,QR Pay,8
13,Cantonise Yuen Yang (Ladna Kuey Teow),1,6.5,1/12/2024,13:28:41,Dine In,Cash,6.5
5A,Thai Patpet Sauce Chicken,1,8,1/12/2024,13:28:41,Dine In,Cash,8
2A,Sweet & Sour Sauce Chicken,1,7,1/12/2024,13:29:51,Take Out,QR Pay,7
4A,Gong Bao Sauce Chicken,1,7,1/12/2024,13:29:51,Take Out,QR Pay,7
1B,Salt Egg Butter Milk Fish,1,9,1/12/2024,13:30:44,Dine In,QR Pay,9
8B,Black Paper Sauce Fish,1,9,1/12/2024,13:30:44,Dine In,QR Pay,9
1MB,Salt Egg Sauce (Mala) Fish,1,9.5,1/12/2024,13:30:44,Dine In,QR Pay,9.5
2A,Sweet & Sour Sauce Chicken,1,7,1/12/2024,13:34:53,Take Out,QR Pay,7
3B,Jin Xiang Sauce Fish,1,8,1/12/2024,13:34:53,Take Out,QR Pay,8
9B,Black Pepper Sauce Duck,1,9,1/12/2024,13:44:11,Dine In,Cash,9
11A,Fried Chicken Roll (2 pcs),1,5,1/12/2024,13:44:11,Dine In,Cash,5
5A,Thai Patpet Sauce Chicken,1,8,1/12/2024,13:44:11,Dine In,Cash,8
7A,Honey Sauce Chicken,1,8,1/12/2024,13:46:34,Dine In,Cash,8
7B,Honey Sauce Fish,1,9,1/12/2024,13:46:34,Dine In,Cash,9
7B,Honey Sauce Fish,1,9,1/12/2024,13:49:39,Dine In,Cash,9
7A,Honey Sauce Chicken,1,8,1/12/2024,13:50:26,Take Out,QR Pay,8
